,precision,recall,f1-score,support
BARBUNYA,0.9137055837563451,0.9090909090909091,0.9113924050632911,198.0
BOMBAY,1.0,0.9871794871794872,0.9935483870967742,78.0
CALI,0.9130434782608695,0.9428571428571428,0.927710843373494,245.0
DERMASON,0.9296577946768061,0.9191729323308271,0.9243856332703214,532.0
HOROZ,0.9633699633699634,0.942652329749104,0.9528985507246377,279.0
SEKER,0.9508196721311475,0.9539473684210527,0.9523809523809523,304.0
SIRA,0.8678304239401496,0.8787878787878788,0.8732747804265998,396.0
accuracy,0.9242125984251969,0.9242125984251969,0.9242125984251969,0.9242125984251969
macro avg,0.9340609880193258,0.933384006916629,0.9336559360480102,2032.0
weighted avg,0.9245460396230897,0.9242125984251969,0.9243179636551742,2032.0
